,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,n,duplicate,ts
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0012338161468505
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0.0672600269317627
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0.0165998935699462
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,0.0144782066345214
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,0,0.0309650897979736
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,0,0.0356197357177734
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,0,0.0356903076171875
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,0,0.0517759323120117
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,0,0.0645339488983154
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,0,0.0468971729278564
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,0,0.0671589374542236
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,0,0.0438828468322753
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,0,0.0619339942932128
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,0,0.0499711036682128
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,0,0.0864291191101074
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,0,0.0699899196624755
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,0,0.1397690773010254
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,0,0.0810549259185791
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,0,0.1010119915008544
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,0,0.0820229053497314
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,0,0.1316080093383789
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,0,0.102632999420166
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,0,0.197502851486206
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,0,0.1167140007019043
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,0,0.107753038406372
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,0,0.181913137435913
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,0,0.099233865737915
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,0,0.1938920021057129
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,0,0.188525915145874
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,0,0.1564240455627441
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,0,0.1885690689086914
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,0,0.1420929431915283
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,0,0.1398830413818359
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,0,0.1353447437286377
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,0,0.2474198341369629
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,0,0.3088130950927734
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,0,0.1554501056671142
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,0,0.1551649570465088
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,0,0.3273818492889404
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,0,0.1709809303283691
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,0,0.1731712818145752
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,0,0.3511648178100586
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,0,0.2111740112304687
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,0,0.2217390537261963
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,0,0.1980509757995605
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,0,0.2334301471710205
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,0,0.2857897281646728
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,0,0.1985001564025879
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,0,0.3196711540222168
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,0,0.3761947154998779
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,0,0.2101640701293945
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,0,0.2735590934753418
