,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,n,duplicate,ts
0,0,0,0,0,1,0,0.0016219615936279
1,1,1,1,1,2,0,0.0007009506225585
2,2,2,2,2,3,0,0.0001769065856933
3,3,3,3,3,4,0,0.0002322196960449
4,4,4,4,4,5,0,0.0002157688140869
5,5,5,5,5,6,0,0.0002102851867675
6,6,6,6,6,7,0,0.0002639293670654
7,7,7,7,7,8,0,0.0001320838928222
8,8,8,8,8,9,0,0.0001728534698486
9,9,9,9,9,10,0,0.0002219676971435
10,10,10,10,10,11,0,0.0002570152282714
11,11,11,11,11,12,0,0.000216007232666
12,12,12,12,12,13,0,0.0001652240753173
13,13,13,13,13,14,0,0.0001273155212402
14,14,14,14,14,15,0,0.0001342296600341
15,15,15,15,15,16,0,0.0002448558807373
16,16,16,16,16,17,0,0.0002219676971435
17,17,17,17,17,18,0,0.0002660751342773
18,18,18,18,18,19,0,0.0001299381256103
19,19,19,19,19,20,0,0.000223159790039
20,20,20,20,20,21,0,0.0002079010009765
21,21,21,21,21,22,0,0.0002200603485107
22,22,22,22,22,23,0,0.0001800060272216
23,23,23,23,23,24,0,0.0001962184906005
24,24,24,24,24,25,0,0.0001327991485595
25,25,25,25,25,26,0,0.0001389980316162
26,26,26,26,26,27,0,0.0001859664916992
27,27,27,27,27,28,0,0.000195026397705
28,28,28,28,28,29,0,0.0001828670501708
29,29,29,29,29,30,0,0.0001840591430664
30,30,30,30,30,31,0,0.0001358985900878
31,31,31,31,31,32,0,0.000291109085083
32,32,32,32,32,33,0,0.0001657009124755
33,33,33,33,33,34,0,0.0002062320709228
34,34,34,34,34,35,0,0.0002150535583496
35,35,35,35,35,36,0,0.0001778602600097
36,36,36,36,36,37,0,0.0002291202545166
37,37,37,37,37,38,0,0.0001947879791259
38,38,38,38,38,39,0,0.0001749992370605
39,39,39,39,39,40,0,0.0001420974731445
40,40,40,40,40,41,1,0.0002682209014892
41,41,41,41,41,42,0,0.0001497268676757
42,42,42,42,42,43,0,0.000180959701538
43,43,43,43,43,44,0,0.0002071857452392
44,44,44,44,44,45,0,0.0001559257507324
45,45,45,45,45,46,0,0.0002059936523437
