,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,n,duplicate,ts
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0012140274047851
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0.0570957660675048
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0.0610308647155761
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,0.0397951602935791
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,0,0.082345962524414
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,0,0.0563733577728271
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,0,0.0985238552093505
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,0,0.2006831169128418
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,0,0.0800046920776367
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,0,0.1531550884246826
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,0,0.1390027999877929
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,0,0.197355031967163
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,0,0.2165701389312744
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,0,0.1891038417816162
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,0,0.2655868530273437
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,0,0.2231872081756591
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,0,0.1339828968048095
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,0,0.4905188083648681
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,0,0.160243272781372
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,0,0.2694427967071533
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,0,0.3234322071075439
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,0,0.4722299575805664
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,0,0.7755489349365234
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,0,0.2222177982330322
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,0,0.7197010517120361
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,0,0.311082124710083
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,0,0.634037971496582
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,0,0.533757209777832
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,0,0.7077310085296631
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,0,0.7299158573150635
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,0,0.4375710487365722
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,0,0.4735176563262939
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,0,0.8271901607513428
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,0,0.4667060375213623
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,0,0.3306989669799804
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,0,0.936838150024414
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,0,0.7048277854919434
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,0,0.7941632270812988
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,0,1.2075703144073486
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,0,0.4516327381134033
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,0,1.4856500625610352
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,0,0.4879319667816162
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,0,0.6168708801269531
