,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,n,duplicate,ts
0,0,0,0,0,0,0,0,0,0,0,1,0,0.0010619163513183
1,1,1,1,1,1,1,1,1,1,1,2,0,0.0565030574798584
2,2,2,2,2,2,2,2,2,2,2,3,0,0.0575261116027832
3,3,3,3,3,3,3,3,3,3,3,4,0,0.039233922958374
4,4,4,4,4,4,4,4,4,4,4,5,0,0.0200121402740478
5,5,5,5,5,5,5,5,5,5,5,6,0,0.0592708587646484
6,6,6,6,6,6,6,6,6,6,6,7,0,0.0815632343292236
7,7,7,7,7,7,7,7,7,7,7,8,0,0.0611257553100585
8,8,8,8,8,8,8,8,8,8,8,9,0,0.0516071319580078
9,9,9,9,9,9,9,9,9,9,9,10,0,0.189857006072998
10,10,10,10,10,10,10,10,10,10,10,11,0,0.2089099884033203
11,11,11,11,11,11,11,11,11,11,11,12,0,0.1353349685668945
12,12,12,12,12,12,12,12,12,12,12,13,0,0.0885581970214843
13,13,13,13,13,13,13,13,13,13,13,14,0,0.1692068576812744
14,14,14,14,14,14,14,14,14,14,14,15,0,0.453449010848999
15,15,15,15,15,15,15,15,15,15,15,16,0,0.2745609283447265
16,16,16,16,16,16,16,16,16,16,16,17,0,0.2478749752044677
17,17,17,17,17,17,17,17,17,17,17,18,0,0.2026822566986084
18,18,18,18,18,18,18,18,18,18,18,19,0,0.3346309661865234
19,19,19,19,19,19,19,19,19,19,19,20,0,0.1553959846496582
20,20,20,20,20,20,20,20,20,20,20,21,0,0.2393751144409179
21,21,21,21,21,21,21,21,21,21,21,22,0,0.1417222023010254
22,22,22,22,22,22,22,22,22,22,22,23,0,0.3078548908233642
23,23,23,23,23,23,23,23,23,23,23,24,0,0.4196751117706299
24,24,24,24,24,24,24,24,24,24,24,25,0,0.3283338546752929
25,25,25,25,25,25,25,25,25,25,25,26,0,0.6318111419677734
26,26,26,26,26,26,26,26,26,26,26,27,0,0.4248580932617187
27,27,27,27,27,27,27,27,27,27,27,28,0,0.9179568290710448
28,28,28,28,28,28,28,28,28,28,28,29,0,0.5101990699768066
29,29,29,29,29,29,29,29,29,29,29,30,0,0.3461370468139648
30,30,30,30,30,30,30,30,30,30,30,31,0,0.3482708930969238
31,31,31,31,31,31,31,31,31,31,31,32,0,0.436143159866333
32,32,32,32,32,32,32,32,32,32,32,33,0,0.4552829265594482
